jogosít,jogosítana,16,VERB|COND
feltételez,feltételezne,36,VERB|COND
robbant,robbantana,2,VERB|COND
vakul,vakulna,8,VERB|COND
csitít,csitítana,2,VERB|COND
csintalankodik,csintalankodna,1,VERB|COND
állomásozik,állomásozna,6,VERB|COND
előnyomul,előnyomulna,2,VERB|COND
meglobosodik,meglobosodna,2,VERB|COND
rátipor,rátiporna,2,VERB|COND
átél,átélne,2,VERB|COND
rajzoltat,rajzoltatna,3,VERB|COND
próbálkozhatik,próbálkozhatna,7,VERB|MODAL|COND
egybekel,egybekelne,6,VERB|COND
elemez,elemezne,8,VERB|COND
ellenez,ellenzene,3,VERB|COND
visszatart,visszatartana,16,VERB|COND
föléled,föléledne,4,VERB|COND
rájön,rájönne,9,VERB|COND
bénul,bénulna,2,VERB|COND
megtelepedhetik,megtelepedhetne,4,VERB|MODAL|COND
beépül,beépülne,9,VERB|COND
felfogad,felfogadna,6,VERB|COND
realizálhat,realizálhatna,1,VERB|MODAL|COND
megérkezhetik,megérkezhetne,6,VERB|MODAL|COND
átevickél,átevickélne,2,VERB|COND
hátramarad,hátramaradna,4,VERB|COND
utánakap,utánakapna,6,VERB|COND
visszaemel,visszaemelne,8,VERB|COND
titkol,titkolna,18,VERB|COND
szikrázik,szikrázna,10,VERB|COND
kiemelkedhetik,kiemelkedhetne,2,VERB|MODAL|COND
félreáll,félreállna,8,VERB|COND
próbál,próbálna,24,VERB|COND
összeér,összeérne,24,VERB|COND
mereng,merengne,2,VERB|COND
spekulál,spekulálna,1,VERB|COND
kitud,kitudna,6,VERB|COND
sérül,sérülne,10,VERB|COND
összeomlik,összeomlana,22,VERB|COND
levadászik,levadászna,1,VERB|COND
jóllakhatik,jóllakhatna,12,VERB|MODAL|COND
rákiált,rákiáltana,6,VERB|COND
eljön,eljőne,8,VERB|COND
belepistul,belepistulna,2,VERB|COND
előszámlál,előszámlálna,3,VERB|COND
szenderül,szenderülne,4,VERB|COND
kiállhat,kiállhatna,8,VERB|MODAL|COND
zaklathat,zaklathatna,1,VERB|MODAL|COND
megromlik,megromlana,12,VERB|COND
bizonyosodik,bizonyosodna,8,VERB|COND
kerülget,kerülgetne,3,VERB|COND
kisiet,kisietne,4,VERB|COND
elhibáz,elhibázna,8,VERB|COND
elhanyagolódik,elhanyagolódna,4,VERB[MEDIAL]|VERB|COND
elszökhetik,elszökhetne,4,VERB|MODAL|COND
fúlhat,fúlhatna,2,VERB|MODAL|COND
megüt,megütne,16,VERB|COND
hozakodhatik,hozakodhatna,1,VERB|MODAL|COND
felbomlik,felbomlana,18,VERB|COND
rakhat,rakhatna,7,VERB|MODAL|COND
írogat,írogatna,2,VERB|COND
beutaz,beutazna,5,VERB|COND
ujjong,ujjongana,8,VERB|COND
megszól,megszólna,10,VERB|COND
bogarászik,bogarászna,1,VERB|COND
hazaszólít,hazaszólítana,2,VERB|COND
kivonulhat,kivonulhatna,2,VERB|MODAL|COND
lehervad,lehervadna,2,VERB|COND
keresztülvergődik,keresztülvergődne,2,VERB|COND
ráhúzhat,ráhúzhatna,2,VERB|MODAL|COND
megvehet,megvehetne,8,VERB|MODAL|COND
megsemmisít,megsemmisítene,12,VERB|COND
megkondul,megkondulna,4,VERB|COND
csörög,csörögne,5,VERB|COND
vegyít,vegyítene,3,VERB|COND
élhet,élhetne,12,VERB|MODAL|COND
megcsusszan,megcsusszanna,1,VERB|COND
instanciázik,instanciázna,2,VERB|COND
odavágtat,odavágtatna,1,VERB|COND
taszíthat,taszíthatna,2,VERB|MODAL|COND
megszomorít,megszomorítana,6,VERB|COND
túlirányít,túlirányítana,1,VERB|COND
felmenthet,felmenthetne,6,VERB|MODAL|COND
megül,megülne,12,VERB|COND
összeegyeztet,összeegyeztetne,4,VERB|COND
lehiggad,lehiggadna,2,VERB|COND
ütközhetik,ütközhetne,3,VERB|MODAL|COND
megalkudik,megalkudna,3,VERB|COND
szabadít,szabadítana,26,VERB|COND
megkell,megkéne,3,VERB|COND
igazgathat,igazgathatna,1,VERB|MODAL|COND
citál,citálna,2,VERB|COND
felmutat,felmutatna,2,VERB|COND
gúnyolódik,gúnyolódna,21,VERB|COND
ugat,ugatna,12,VERB|COND
bepiszkolódik,bepiszkolódna,10,VERB|COND
megcsorbul,megcsorbulna,1,VERB|COND
buzgólkodik,buzgólkodna,2,VERB|COND
közelget,közelgetne,3,VERB|COND
kötődik,kötődne,14,VERB|COND
ellentállhat,ellentállhatna,2,VERB|MODAL|COND
elmarad,elmaradna,20,VERB|COND
hazaparancsol,hazaparancsolna,2,VERB|COND
elszaladgál,elszaladgálna,1,VERB|COND
járulhat,járulhatna,10,VERB|MODAL|COND
kotyog,kotyogna,3,VERB|COND
leszalad,leszaladna,4,VERB|COND
teljesíthet,teljesíthetne,4,VERB|MODAL|COND
megterem,megteremne,22,VERB|COND
megfeleltethet,megfeleltethetne,4,VERB[CAUS]|VERB|MODAL|COND
túlragad,túlragadna,1,VERB|COND
odaajándékoz,odaajándékozna,3,VERB|COND
ráírat,ráíratna,5,VERB|COND
idekerül,idekerülne,4,VERB|COND
tartóztat,tartóztatna,18,VERB|COND
bomlik,bomolna,8,VERB|COND
megderogál,megderogálna,1,VERB|COND
muzsikál,muzsikálna,16,VERB|COND
hajlít,hajlítana,3,VERB|COND
köszön,köszönne,10,VERB|COND
gátolhat,gátolhatna,6,VERB|MODAL|COND
berozsdázik,berozsdázna,1,NOUN[ACT]|VERB|COND
studíroz,studírozna,1,VERB|COND
rejthet,rejthetne,4,VERB|MODAL|COND
fecskendez,fecskendezne,3,VERB|COND
perzsel,perzselne,4,VERB|COND
