vizsgál,vizsgálván,24,VERB[PERF_PART]|ADV
arrogáns,arrogánsan,9,ADJ[MANNER]|ADV
átég,átégve,4,VERB[PART]|ADV
feltételez,feltételezve,64,VERB[PART]|ADV
túlhalad,túlhaladván,10,VERB[PERF_PART]|ADV
rend,rendenként,7,NOUN[PERIOD1]|ADV
fellelhető,fellelhetőn,6,ADJ[MANNER]|ADV
csintalankodik,csintalankodva,4,VERB[PART]|ADV
kettémetsz,kettémetszvén,4,VERB[PERF_PART]|ADV
imád,imádván,11,VERB[PERF_PART]|ADV
eligazít,eligazítva,24,VERB[PART]|ADV
altató,altatóstól,5,NOUN[COM]|ADV
arányosít,arányosítva,20,VERB[PART]|ADV
tároz,tározván,2,VERB[PERF_PART]|ADV
vakul,vakulva,18,VERB[PART]|ADV
gúnyolódik,gúnyolódván,3,VERB[PERF_PART]|ADV
közrejátszik,közrejátszván,2,VERB[PERF_PART]|ADV
beépül,beépülve,33,VERB[PART]|ADV
víztároló,víztárolóul,3,ADJ[MANNER]|ADV
elroskad,elroskadva,1,VERB[PART]|ADV
állomásozik,állomásozva,12,VERB[PART]|ADV
hárul,hárulván,3,VERB[PERF_PART]|ADV
bekettőz,bekettőzve,1,VERB[PART]|ADV
kandít,kandítván,1,VERB[PERF_PART]|ADV
előnyomul,előnyomulva,18,VERB[PART]|ADV
megérlelődik,megérlelődve,4,VERB[PART]|ADV
megtetszik,megtetszvén,12,VERB[PERF_PART]|ADV
szemernyi,szemernyien,1,ADJ[MANNER]|ADV
béajánl,béajánlván,1,VERB[PERF_PART]|ADV
felhat,felhatva,2,VERB[PART]|ADV
orrol,orrolván,4,VERB[PERF_PART]|ADV
rátipor,rátiporva,2,VERB[PART]|ADV
ballisztikus,ballisztikusan,1,ADJ[MANNER]|ADV
rázkódik,rázkódván,2,VERB[PERF_PART]|ADV
meggyőz,meggyőzvén,32,VERB[PERF_PART]|ADV
hajlik,hajlva,1,VERB[PART]|ADV
megráz,megrázván,18,VERB[PERF_PART]|ADV
leölel,leölelvén,1,VERB[PERF_PART]|ADV
reszkíroz,reszkírozva,2,VERB[PART]|ADV
